id_client,default,default_string,balance,sex,education,marriage,age
85,0,No Default,50000,Female,High School,Single,49
86,0,No Default,160000,Male,University,Single,33
87,1,Default,360000,Female,Graduate School,Married,45
88,0,No Default,160000,Female,University,Single,32
89,0,No Default,130000,Female,Graduate School,Married,35
90,0,No Default,20000,Male,High School,Single,44
91,1,Default,200000,Male,Graduate School,Married,53
92,0,No Default,280000,Female,Graduate School,Single,39
93,0,No Default,100000,Female,Graduate School,Single,27
94,0,No Default,160000,Female,University,Married,37
95,0,No Default,60000,Female,University,Single,23
96,0,No Default,90000,Male,University,Single,35
97,0,No Default,360000,Male,Graduate School,Married,43
98,0,No Default,150000,Male,Graduate School,Single,27
99,0,No Default,50000,Female,High School,Married,22
100,1,Default,20000,Male,University,Married,38
101,0,No Default,140000,Male,Graduate School,Single,32
102,0,No Default,380000,Female,Graduate School,Single,30
103,0,No Default,480000,Male,Graduate School,Married,63
104,1,Default,50000,Female,High School,Single,22
105,0,No Default,60000,Female,University,Single,26
106,0,No Default,70000,Female,University,Single,24
107,0,No Default,80000,Female,University,Married,36
108,0,No Default,350000,Male,Graduate School,Single,52
109,0,No Default,130000,Male,University,Single,38
110,0,No Default,360000,Male,University,Married,35
111,0,No Default,330000,Female,Graduate School,Married,31
112,0,No Default,50000,Male,High School,Married,47
113,0,No Default,280000,Male,University,Married,41
114,0,No Default,100000,Female,Graduate School,Single,24
115,0,No Default,50000,Male,University,Single,41
116,1,Default,30000,Male,Graduate School,Single,24
117,0,No Default,240000,Male,Graduate School,Single,28
118,1,Default,80000,Male,University,Single,26
119,0,No Default,400000,Male,University,Married,34
120,0,No Default,240000,Female,University,Single,38
121,1,Default,50000,Male,High School,Single,37
122,1,Default,450000,Male,Graduate School,Married,40
123,0,No Default,110000,Female,Graduate School,Married,48
124,1,Default,310000,Female,University,Married,35
125,0,No Default,20000,Male,Graduate School,Single,27
126,0,No Default,20000,Male,University,Single,23
127,0,No Default,200000,Male,High School,Single,52
128,1,Default,180000,Male,Graduate School,Married,36
129,1,Default,50000,Male,University,Married,51
130,0,No Default,60000,Male,High School,Married,55
131,0,No Default,30000,Female,Graduate School,Single,23
132,0,No Default,240000,Male,Graduate School,Single,41
133,0,No Default,420000,Male,University,Married,34
134,0,No Default,330000,Male,High School,Married,46
135,0,No Default,30000,Female,University,Single,22
136,0,No Default,240000,Male,University,Married,34
137,0,No Default,150000,Male,Graduate School,Single,27
138,0,No Default,210000,Female,University,Married,33
139,1,Default,50000,Female,High School,Married,51
140,0,No Default,50000,Male,Graduate School,Single,24
141,1,Default,240000,Male,Graduate School,Single,47
142,0,No Default,180000,Male,University,Single,28
143,0,No Default,50000,Male,University,Single,23
144,0,No Default,170000,Male,University,Single,29
145,0,No Default,20000,Male,Graduate School,Single,29
146,0,No Default,50000,Male,Graduate School,Single,28
147,1,Default,170000,Female,University,Single,27
148,0,No Default,200000,Male,Graduate School,Single,34
149,0,No Default,80000,Female,University,Married,23
150,0,No Default,260000,Female,Graduate School,Married,60
151,0,No Default,140000,Male,University,Married,32
152,0,No Default,80000,Male,Graduate School,Single,25
153,0,No Default,350000,Male,Graduate School,Single,41
154,0,No Default,280000,Female,University,Married,56
155,0,No Default,30000,Female,High School,Single,26
156,0,No Default,140000,Male,Graduate School,Married,34
157,0,No Default,200000,Female,Graduate School,Single,37
158,0,No Default,200000,Female,High School,Single,30
159,1,Default,210000,Male,High School,Married,45
160,0,No Default,50000,Male,High School,Married,57
161,0,No Default,30000,Male,Graduate School,Single,41
162,0,No Default,50000,Male,University,Single,27
163,0,No Default,290000,Male,High School,Married,47
164,0,No Default,250000,Female,Graduate School,Married,34
165,0,No Default,60000,Female,University,Married,46
166,0,No Default,110000,Female,Graduate School,Single,27
167,0,No Default,370000,Male,Graduate School,Single,50
168,0,No Default,100000,Male,University,Married,27
169,0,No Default,90000,Female,University,Married,35
170,0,No Default,50000,Female,University,Single,22
171,0,No Default,270000,Male,University,Single,37
172,0,No Default,300000,Female,Graduate School,Single,30
173,0,No Default,50000,Female,University,Single,22
174,1,Default,50000,Female,Graduate School,Single,24
175,0,No Default,360000,Male,Graduate School,Single,29
176,1,Default,130000,Male,High School,Married,56
177,0,No Default,80000,Male,Graduate School,Single,30
178,0,No Default,50000,Male,University,Single,30
179,0,No Default,20000,Female,University,Single,22
180,0,No Default,80000,Female,University,Married,29
181,0,No Default,240000,Male,Graduate School,Single,37
182,0,No Default,80000,Female,High School,Single,35
183,0,No Default,500000,Female,Graduate School,Married,47
184,1,Default,60000,Female,University,Married,24
185,0,No Default,20000,Male,University,Single,25
186,1,Default,100000,Female,University,Married,38
187,0,No Default,360000,Female,Graduate School,Single,32
188,1,Default,200000,Female,High School,Single,47
189,0,No Default,130000,Female,University,Married,34
190,0,No Default,20000,Female,University,Single,31
191,0,No Default,310000,Male,Graduate School,Single,32
192,1,Default,60000,Female,Graduate School,Single,27
193,0,No Default,180000,Female,Graduate School,Single,29
194,0,No Default,180000,Female,Graduate School,Single,24
195,0,No Default,50000,Male,University,Married,36
196,1,Default,50000,Female,Graduate School,Single,24
197,0,No Default,150000,Female,University,Married,34
198,0,No Default,20000,Female,Graduate School,Single,22
199,0,No Default,500000,Female,Graduate School,Married,34
200,1,Default,30000,Female,High School,Single,22
201,0,No Default,180000,Female,Graduate School,Married,38
202,0,No Default,140000,Male,Graduate School,Single,31
203,0,No Default,140000,Female,Graduate School,Single,26
204,0,No Default,120000,Male,University,Single,26
205,0,No Default,360000,Female,University,Married,48
206,0,No Default,20000,Male,High School,Married,43
207,0,No Default,100000,Male,Graduate School,Married,47
208,1,Default,210000,Female,University,Married,41
209,1,Default,80000,Female,University,Single,24
210,0,No Default,330000,Female,Graduate School,Married,50
211,0,No Default,220000,Male,Graduate School,Single,24
212,1,Default,210000,Female,Graduate School,Married,38
213,0,No Default,40000,Female,High School,Married,43
214,0,No Default,30000,Male,University,Single,39
215,0,No Default,470000,Male,University,Single,27
216,0,No Default,30000,Male,High School,Married,42
217,1,Default,240000,Female,University,Married,36
218,0,No Default,80000,Male,University,Single,36
219,0,No Default,110000,Female,High School,NA,31
220,0,No Default,310000,Female,Graduate School,Single,38
221,1,Default,360000,Female,Graduate School,Married,40
222,0,No Default,330000,Female,High School,Single,45
223,0,No Default,300000,Female,University,Single,35
224,0,No Default,320000,Female,University,Single,33
225,1,Default,50000,Female,High School,Single,37
226,0,No Default,170000,Female,Graduate School,Single,28
227,0,No Default,350000,Male,High School,Married,44
228,0,No Default,20000,Male,University,Married,37
229,1,Default,50000,Male,University,Single,23
230,0,No Default,20000,Female,High School,Single,24
231,0,No Default,50000,Female,Graduate School,Single,24
232,1,Default,20000,Male,University,Single,23
233,0,No Default,50000,Male,University,Married,26
234,1,Default,190000,Male,University,Single,34
235,0,No Default,60000,Female,University,Married,33
236,0,No Default,80000,Male,Graduate School,Single,35
237,0,No Default,150000,Female,University,Single,27
238,0,No Default,210000,Female,Graduate School,Single,31
239,1,Default,240000,Female,High School,Married,50
240,1,Default,140000,Female,University,Other,41
241,0,No Default,60000,Female,Graduate School,Single,28
242,0,No Default,50000,Male,Graduate School,Single,39
243,0,No Default,50000,Female,University,Single,27
244,0,No Default,180000,Female,Graduate School,Single,32
245,0,No Default,30000,Female,Graduate School,Single,40
246,0,No Default,20000,Female,University,Single,40
247,0,No Default,250000,Female,University,Married,75
248,0,No Default,100000,Female,University,Single,27
249,0,No Default,330000,Male,Graduate School,Single,25
250,0,No Default,50000,Male,High School,Married,46
251,0,No Default,50000,Female,University,Single,26
252,0,No Default,30000,Male,University,Single,28
253,1,Default,140000,Female,University,Single,26
254,0,No Default,160000,Female,Graduate School,Single,28
255,0,No Default,400000,Female,University,Single,29
256,0,No Default,50000,Male,University,Married,25
257,0,No Default,140000,Female,University,Married,48
258,0,No Default,160000,Female,University,Married,33
259,0,No Default,100000,Female,High School,Married,43
260,1,Default,220000,Male,Graduate School,Married,48
261,0,No Default,510000,Female,Graduate School,Single,29
262,0,No Default,50000,Male,University,Single,29
263,0,No Default,160000,Female,Graduate School,Married,38
264,0,No Default,230000,Female,Graduate School,Single,37
265,0,No Default,80000,Female,Graduate School,Single,37
266,0,No Default,150000,Female,University,Married,25
267,0,No Default,10000,Male,High School,Single,23
268,1,Default,130000,Female,High School,Single,49
269,0,No Default,40000,Female,Graduate School,Single,48
270,1,Default,50000,Male,University,Single,27
271,0,No Default,100000,Male,High School,Single,32
272,0,No Default,120000,Male,Graduate School,Married,34
273,1,Default,260000,Female,Graduate School,Single,58
274,0,No Default,200000,Female,University,Single,33
275,1,Default,360000,Female,University,Single,28
276,0,No Default,70000,Female,University,Single,36
277,1,Default,460000,Male,Graduate School,Married,40
278,0,No Default,50000,Female,Graduate School,Single,26
279,0,No Default,50000,Male,High School,Married,33
280,0,No Default,250000,Female,University,Married,31
281,0,No Default,30000,Female,Graduate School,Single,27
282,0,No Default,270000,Male,University,Married,44
283,0,No Default,180000,Female,High School,Single,30
284,0,No Default,100000,Female,Graduate School,Single,28
285,0,No Default,230000,Female,High School,Married,32
286,0,No Default,210000,Female,Graduate School,Married,46
287,0,No Default,210000,Male,Graduate School,Single,38
288,0,No Default,440000,Female,University,Married,46
289,1,Default,100000,Female,University,Single,25
290,0,No Default,240000,Female,University,Married,46
291,1,Default,280000,Male,Graduate School,Single,33
292,1,Default,50000,Female,University,Single,22
293,0,No Default,30000,Male,University,Married,43
294,1,Default,10000,Male,University,Single,27
295,0,No Default,130000,Male,Graduate School,Single,29
296,0,No Default,200000,Male,Graduate School,Single,31
297,0,No Default,120000,Female,University,Married,29
298,0,No Default,210000,Female,University,Married,36
299,0,No Default,280000,Female,Graduate School,Married,36
300,1,Default,300000,Male,Graduate School,Single,34
301,0,No Default,100000,Male,University,Single,37
302,0,No Default,440000,Female,Graduate School,Single,36
303,0,No Default,50000,Female,High School,Married,40
304,1,Default,20000,Female,Graduate School,Single,25
305,0,No Default,200000,Female,Graduate School,Single,27
306,0,No Default,110000,Female,University,Single,26
307,0,No Default,500000,Female,University,Married,36
308,0,No Default,300000,Female,University,Married,27
309,1,Default,30000,Male,High School,Married,55
310,0,No Default,60000,Female,Graduate School,Single,27
311,0,No Default,400000,Female,University,Married,38
312,0,No Default,180000,Female,University,Married,34
313,0,No Default,20000,Male,Graduate School,Single,40
314,1,Default,200000,Female,High School,Married,49
315,0,No Default,100000,Male,Graduate School,Single,27
316,1,Default,60000,Male,University,Single,23
317,0,No Default,110000,Female,University,Single,36
318,0,No Default,260000,Female,High School,Married,53
319,0,No Default,50000,Female,High School,Married,46
320,0,No Default,180000,Male,University,Single,29
321,1,Default,110000,Male,University,Single,29
322,0,No Default,340000,Female,Graduate School,Single,27
323,0,No Default,50000,Male,University,Single,24
324,1,Default,230000,Female,University,Married,28
325,0,No Default,360000,Female,University,Single,32
326,0,No Default,210000,Male,University,Single,43
327,1,Default,220000,Female,University,Married,41
328,1,Default,60000,Female,University,Married,34
329,0,No Default,340000,Male,University,Married,55
330,0,No Default,150000,Male,Graduate School,Married,40
331,1,Default,200000,Female,University,Married,37
332,1,Default,130000,Female,University,Single,40
333,0,No Default,60000,Female,Graduate School,Single,28
334,0,No Default,400000,Female,University,Married,43
335,0,No Default,20000,Male,Graduate School,Single,27
336,0,No Default,190000,Female,Graduate School,Single,28
337,0,No Default,260000,Female,Graduate School,Single,30
338,0,No Default,140000,Female,University,Single,31
339,1,Default,50000,Female,University,Married,31
340,0,No Default,120000,Female,Graduate School,Single,34
341,0,No Default,240000,Female,University,Single,30
342,0,No Default,50000,Male,University,Single,36
343,0,No Default,200000,Female,Graduate School,Single,29
344,0,No Default,180000,Male,Graduate School,Married,39
345,0,No Default,180000,Female,Graduate School,Single,26
346,0,No Default,160000,Female,Graduate School,Single,29
347,0,No Default,100000,Female,University,Single,26
348,1,Default,50000,Female,University,Single,29
349,0,No Default,140000,Female,University,Single,31
350,1,Default,30000,Female,University,Single,26
351,0,No Default,90000,Male,Graduate School,Single,26
352,0,No Default,200000,Male,Graduate School,Married,36
353,1,Default,380000,Male,Graduate School,Single,30
354,0,No Default,80000,Female,University,Single,43
355,0,No Default,50000,Male,High School,Married,58
356,1,Default,180000,Male,University,Married,45
357,0,No Default,240000,Female,University,Single,26
358,0,No Default,380000,Male,University,Single,34
359,0,No Default,110000,Female,Unknown,Single,24
360,0,No Default,260000,Male,Graduate School,Married,34
361,1,Default,500000,Female,University,Single,23
362,0,No Default,320000,Female,University,Single,30
363,0,No Default,50000,Male,University,Single,32
364,1,Default,110000,Male,Graduate School,Married,40
365,0,No Default,230000,Female,Graduate School,Single,35
366,0,No Default,330000,Female,University,Married,56
367,0,No Default,50000,Female,University,Married,61
368,0,No Default,10000,Male,University,Single,24
369,0,No Default,300000,Male,Graduate School,Married,40
370,1,Default,20000,Female,University,Married,32
371,1,Default,180000,Male,University,Married,36
372,0,No Default,160000,Male,Graduate School,Single,30
373,0,No Default,90000,Female,Graduate School,Single,34
374,0,No Default,30000,Male,High School,Other,54
375,0,No Default,180000,Male,Graduate School,Married,46
376,0,No Default,30000,Male,High School,Married,58
377,0,No Default,30000,Male,University,Married,43
378,0,No Default,140000,Female,Graduate School,Single,28
379,0,No Default,210000,Male,Graduate School,Single,30
380,1,Default,50000,Male,University,Single,31
381,0,No Default,130000,Female,University,Single,29
382,1,Default,50000,Female,University,Married,37
383,0,No Default,140000,Male,High School,Married,36
384,1,Default,170000,Female,University,Single,28
385,0,No Default,80000,Male,University,Single,25
386,0,No Default,410000,Female,Unknown,Married,42
387,0,No Default,80000,Female,Graduate School,Single,29
388,1,Default,80000,Male,High School,Married,73
389,0,No Default,150000,Male,University,Married,43
390,1,Default,260000,Male,Graduate School,Married,30
391,0,No Default,350000,Male,Graduate School,Married,38
392,1,Default,280000,Female,University,Married,39
393,0,No Default,310000,Male,University,Married,44
394,0,No Default,140000,Female,University,Single,29
395,0,No Default,360000,Male,Graduate School,Married,51
396,0,No Default,140000,Female,Graduate School,Single,27
397,0,No Default,100000,Male,Graduate School,Single,38
398,0,No Default,50000,Female,University,Single,22
399,0,No Default,210000,Female,University,Married,30
400,0,No Default,120000,Female,University,Single,25
401,0,No Default,240000,Male,Graduate School,Single,29
402,0,No Default,60000,Female,High School,Other,42
403,1,Default,150000,Male,Graduate School,Single,41
404,0,No Default,30000,Male,University,Married,48
405,1,Default,160000,Female,Graduate School,Single,29
406,0,No Default,200000,Male,Graduate School,Married,52
407,0,No Default,120000,Female,University,Married,25
408,0,No Default,500000,Male,Graduate School,Married,37
409,0,No Default,320000,Female,Graduate School,Single,27
410,0,No Default,280000,Male,Graduate School,Single,31
411,1,Default,60000,Female,Graduate School,Single,23
412,0,No Default,200000,Female,Graduate School,Married,38
413,0,No Default,230000,Female,Graduate School,Married,32
414,1,Default,230000,Female,University,Single,27
415,0,No Default,480000,Female,High School,Married,41
416,0,No Default,50000,Female,High School,Married,35
417,0,No Default,200000,Female,Graduate School,Single,31
418,0,No Default,50000,Female,Graduate School,Single,30
419,0,No Default,50000,Male,University,Married,48
420,1,Default,260000,Female,Graduate School,Single,36
421,0,No Default,30000,Male,Graduate School,Single,24
422,0,No Default,440000,Female,Graduate School,Single,29
423,0,No Default,230000,Female,University,Single,38
424,1,Default,200000,Male,University,Married,38
425,0,No Default,490000,Female,University,Married,30
426,0,No Default,80000,Female,University,Married,32
427,1,Default,20000,Female,High School,Single,49
428,1,Default,170000,Female,Graduate School,Single,31
429,0,No Default,70000,Male,Graduate School,Single,27
430,0,No Default,210000,Female,University,Single,33
431,0,No Default,90000,Female,University,Single,25
432,1,Default,390000,Female,Graduate School,Single,27
433,0,No Default,110000,Female,Graduate School,Single,29
434,0,No Default,580000,Female,Graduate School,Married,36
435,0,No Default,360000,Male,High School,Married,55
436,1,Default,270000,Female,University,Married,32
437,0,No Default,60000,Female,Graduate School,Single,27
438,0,No Default,110000,Male,High School,Married,37
439,0,No Default,50000,Female,Graduate School,Married,25
440,1,Default,80000,Female,Graduate School,Single,23
441,0,No Default,50000,Male,University,Single,23
442,0,No Default,100000,Male,Graduate School,Single,32
443,0,No Default,30000,Female,Graduate School,Single,26
444,0,No Default,200000,Female,Graduate School,Single,27
445,1,Default,240000,Male,Graduate School,Single,44
446,0,No Default,220000,Male,University,Single,34
447,0,No Default,160000,Female,Graduate School,Single,28
448,0,No Default,180000,Female,Graduate School,Married,53
449,0,No Default,200000,Male,Unknown,Married,42
450,0,No Default,140000,Female,High School,Married,30
451,1,Default,380000,Male,Graduate School,Married,51
452,1,Default,600000,Male,Graduate School,Married,53
453,0,No Default,260000,Male,University,Single,37
454,0,No Default,200000,Female,Graduate School,Single,26
455,0,No Default,80000,Male,University,Single,42
456,0,No Default,40000,Male,University,Single,39
457,0,No Default,130000,Male,High School,Single,39
458,0,No Default,50000,Male,Graduate School,Single,32
459,0,No Default,230000,Female,University,Married,41
460,1,Default,70000,Male,University,Married,48
461,0,No Default,180000,Female,University,Married,38
462,0,No Default,80000,Female,University,Married,36
463,0,No Default,290000,Female,University,Single,26
464,0,No Default,230000,Female,Graduate School,Single,28
465,0,No Default,170000,Female,High School,Other,56
466,1,Default,230000,Male,Graduate School,Married,59
467,1,Default,220000,Male,Graduate School,Single,38
468,0,No Default,230000,Male,University,Single,32
469,0,No Default,500000,Male,University,Married,38
470,0,No Default,90000,Female,Graduate School,Married,41
471,1,Default,390000,Female,High School,Single,35
472,0,No Default,400000,Female,University,Single,41
473,0,No Default,180000,Male,University,Married,34
474,0,No Default,60000,Male,High School,Married,38
475,0,No Default,120000,Female,University,Married,32
476,0,No Default,60000,Female,University,Single,29
477,0,No Default,50000,Male,Graduate School,Single,44
478,0,No Default,70000,Female,University,Married,37
479,0,No Default,500000,Female,Graduate School,Married,38
480,0,No Default,200000,Male,Graduate School,Single,31
481,0,No Default,250000,Female,University,Married,40
482,1,Default,140000,Male,University,Single,26
483,0,No Default,70000,Female,University,Single,28
484,0,No Default,90000,Male,High School,Married,48
485,0,No Default,100000,Female,University,Married,43
486,0,No Default,190000,Male,University,Married,31
487,0,No Default,230000,Female,Graduate School,Married,42
488,0,No Default,320000,Male,University,Married,39
489,1,Default,220000,Female,University,Married,36
490,0,No Default,260000,Female,Graduate School,Married,34
491,0,No Default,90000,Female,University,Single,32
492,0,No Default,30000,Female,University,Married,43
493,0,No Default,260000,Male,University,Single,30
494,0,No Default,170000,Female,University,Single,28
495,1,Default,80000,Female,Graduate School,Married,28
496,0,No Default,50000,Male,Graduate School,Married,41
497,0,No Default,200000,Female,High School,Single,47
498,0,No Default,20000,Male,University,Single,23
499,0,No Default,250000,Female,Graduate School,Married,49
500,0,No Default,20000,Male,Graduate School,Married,38
501,0,No Default,30000,Female,University,Married,38
502,0,No Default,90000,Female,University,Married,35
503,0,No Default,230000,Female,Unknown,Single,46
504,1,Default,130000,Female,Graduate School,Married,33
505,0,No Default,30000,Male,Unknown,Married,53
506,0,No Default,160000,Male,Graduate School,Single,35
507,0,No Default,500000,Female,University,Single,43
508,0,No Default,180000,Female,University,Single,28
509,0,No Default,80000,Female,University,Married,30
510,0,No Default,120000,Male,Graduate School,Single,26
511,0,No Default,130000,Male,University,Married,31
512,1,Default,120000,Female,University,Single,35
513,0,No Default,360000,Male,Graduate School,Single,28
514,1,Default,50000,Male,University,Single,23
515,0,No Default,20000,Female,University,Single,23
516,0,No Default,100000,Male,High School,Married,56
517,0,No Default,70000,Male,High School,Married,32
518,0,No Default,50000,Male,University,Married,47
519,0,No Default,10000,Female,University,Single,22
520,0,No Default,290000,Female,Graduate School,Married,34
521,0,No Default,30000,Female,Graduate School,Married,31
522,0,No Default,410000,Female,University,Single,27
523,1,Default,360000,Male,Graduate School,Single,28
524,1,Default,140000,Female,University,Married,42
525,0,No Default,210000,Female,Graduate School,Single,32
526,0,No Default,220000,Female,University,Single,27
527,0,No Default,20000,Male,University,Single,27
528,1,Default,620000,Female,University,Married,45
529,0,No Default,360000,Male,Graduate School,Single,26
530,0,No Default,20000,Female,University,Single,21
531,0,No Default,50000,Male,University,Single,23
532,0,No Default,50000,Male,University,Other,30
533,1,Default,10000,Male,University,Single,46
534,1,Default,100000,Female,High School,Married,50
535,0,No Default,50000,Male,Graduate School,Single,26
536,0,No Default,60000,Male,University,Single,25
537,0,No Default,440000,Female,Graduate School,Single,35
538,0,No Default,120000,Male,University,Married,44
539,0,No Default,50000,Female,Graduate School,Single,52
540,0,No Default,110000,Female,University,Married,40
541,0,No Default,200000,Female,Graduate School,Single,38
542,0,No Default,150000,Female,Graduate School,Single,28
543,1,Default,30000,Female,University,Married,36
544,0,No Default,100000,Female,Graduate School,Single,24
545,0,No Default,360000,Female,Graduate School,Married,34
546,0,No Default,390000,Female,Graduate School,Single,31
547,1,Default,220000,Female,Graduate School,Married,41
548,0,No Default,160000,Female,University,Single,25
549,0,No Default,230000,Female,Graduate School,Single,28
550,0,No Default,120000,Male,Graduate School,Single,27
551,1,Default,100000,Male,High School,Married,52
552,1,Default,190000,Female,Graduate School,Single,41
553,1,Default,50000,Male,Graduate School,Married,56
554,0,No Default,240000,Female,Graduate School,Married,42
555,0,No Default,40000,Female,University,Single,24
556,0,No Default,630000,Female,University,Married,47
557,0,No Default,160000,Female,Graduate School,Married,33
558,0,No Default,110000,Female,University,Single,32
559,0,No Default,20000,Male,University,Single,29
560,0,No Default,210000,Female,High School,Married,53
561,0,No Default,270000,Male,Graduate School,Single,34
562,0,No Default,360000,Female,University,Single,52
563,0,No Default,60000,Female,University,Married,42
564,0,No Default,360000,Male,University,Single,38
565,0,No Default,390000,Female,Graduate School,Single,45
566,0,No Default,250000,Female,High School,Single,35
567,1,Default,90000,Female,Graduate School,Single,24
568,0,No Default,360000,Male,Graduate School,Single,28
569,0,No Default,50000,Male,High School,Single,26
570,0,No Default,270000,Female,Graduate School,Married,40
571,0,No Default,200000,Female,Graduate School,Single,29
572,0,No Default,50000,Female,University,Single,23
573,0,No Default,350000,Male,Graduate School,Single,33
574,1,Default,160000,Female,University,Single,60
575,0,No Default,80000,Female,High School,Married,49
576,1,Default,290000,Male,Graduate School,Married,53
577,0,No Default,270000,Female,Graduate School,Single,28
578,0,No Default,80000,Male,Graduate School,Single,31
579,0,No Default,50000,Male,University,Single,36
580,0,No Default,30000,Male,University,Married,35
581,1,Default,30000,Male,University,Single,28
582,0,No Default,90000,Male,University,Single,33
583,0,No Default,160000,Male,Graduate School,Single,26
584,0,No Default,80000,Female,High School,Single,53
585,0,No Default,50000,Male,University,Single,42
586,0,No Default,20000,Female,Graduate School,Single,25
587,1,Default,220000,Male,Graduate School,Married,43
588,1,Default,210000,Male,High School,Single,25
589,0,No Default,130000,Female,University,Single,29
590,0,No Default,260000,Female,University,Married,31
591,0,No Default,230000,Female,Graduate School,Married,30
592,0,No Default,160000,Male,Graduate School,Single,34
593,0,No Default,50000,Male,Graduate School,Married,35
594,0,No Default,80000,Male,University,Married,32
595,0,No Default,110000,Male,High School,Single,46
596,0,No Default,200000,Male,Graduate School,Married,43
597,0,No Default,360000,Male,University,Single,29
598,0,No Default,210000,Female,High School,Single,31
599,0,No Default,80000,Female,University,Single,24
600,1,Default,300000,Female,University,Married,36
601,0,No Default,310000,Female,University,Married,43
602,1,Default,30000,Male,High School,Married,59
603,0,No Default,170000,Male,Graduate School,Married,53
604,0,No Default,140000,Female,University,Single,28
605,0,No Default,180000,Female,University,Single,31
606,0,No Default,50000,Male,Graduate School,Single,34
607,0,No Default,50000,Female,University,Married,36
608,0,No Default,110000,Female,Graduate School,Single,24
609,0,No Default,450000,Female,High School,Married,36
610,0,No Default,200000,Female,University,Married,34
611,0,No Default,220000,Male,Graduate School,Single,43
612,1,Default,360000,Female,Graduate School,Single,29
613,0,No Default,50000,Male,University,Married,37
614,0,No Default,40000,Male,University,Single,23
615,0,No Default,190000,Female,University,Married,37
616,0,No Default,150000,Male,Graduate School,Single,33
617,0,No Default,200000,Female,Graduate School,Married,37
