id,month,repayment_status,payment_amount
23,april,2,1820
24,september,-2,19428
24,august,-2,1473
24,july,-2,560
24,june,-2,0
24,may,-2,0
24,april,-2,1128
25,september,0,5757
25,august,0,0
25,july,0,5398
25,june,-1,1200
25,may,0,2045
25,april,0,2000
26,september,0,1973
26,august,0,1426
26,july,0,1001
26,june,0,1432
26,may,0,1062
26,april,0,997
27,september,1,0
27,august,-2,1000
27,july,-1,0
27,june,-1,500
27,may,-1,0
27,april,-1,1000
28,september,0,1300
28,august,0,1300
28,july,0,1000
28,june,0,1500
28,may,0,1000
28,april,0,1012
29,september,-1,3415
29,august,-1,3421
29,july,-1,2044
29,june,-1,30430
29,may,-1,257
29,april,-1,0
30,september,0,1500
30,august,0,1500
30,july,0,1000
30,june,0,1000
30,may,0,1600
30,april,0,0
31,september,-1,17270
31,august,-1,13281
31,july,-1,15339
31,june,-1,14307
31,may,-1,37292
31,april,-1,0
32,september,2,1718
32,august,0,1500
32,july,0,1000
32,june,0,1000
32,may,0,1000
32,april,0,716
33,september,0,3023
33,august,0,3511
33,july,0,3302
33,june,0,3204
33,may,0,3200
33,april,0,2504
34,september,-2,4152
34,august,-2,22827
34,july,-2,7521
34,june,-2,71439
34,may,-2,981
34,april,-2,51582
35,september,-2,5006
35,august,-2,31178
35,july,-2,3180
35,june,-2,0
35,may,-2,5293
35,april,-2,768
36,september,-1,131
36,august,-1,396
36,july,-2,396
36,june,-2,565
36,may,-2,792
36,april,-1,0
37,september,0,8026
37,august,0,8060
37,july,0,6300
37,june,0,6400
37,may,0,6400
37,april,0,6737
38,september,0,1500
38,august,0,1518
38,july,0,2043
38,june,0,0
38,may,0,47671
38,april,-1,617
39,september,1,780
39,august,-1,0
39,july,-1,0
39,june,-2,0
39,may,-2,0
39,april,-2,0
40,september,-1,9075
40,august,-1,0
40,july,2,9976
40,june,-1,8000
40,may,0,9525
40,april,-1,781
41,september,0,10000
41,august,0,7000
41,july,0,6000
41,june,0,188840
41,may,0,28000
41,april,0,4000
42,september,0,3000
42,august,0,4500
42,july,0,4042
42,june,0,2500
42,may,0,2800
42,april,0,2500
43,september,0,1500
43,august,0,2927
43,july,0,1000
43,june,0,300
43,may,0,1000
43,april,0,500
44,september,0,3000
44,august,0,3000
44,july,0,3000
44,june,0,4000
44,may,0,4000
44,april,0,3000
45,september,0,3000
45,august,0,5000
45,july,0,0
45,june,2,2000
45,may,0,3000
45,april,0,0
46,september,-2,0
46,august,-2,0
46,july,-2,0
46,june,-2,0
46,may,-2,0
46,april,-2,0
47,september,0,3000
47,august,0,0
47,july,2,16741
47,june,-1,334
47,may,0,0
47,april,0,0
48,september,0,1013
48,august,0,1170
48,july,-1,0
48,june,0,0
48,may,0,0
48,april,-2,0
49,september,-1,21540
49,august,-1,15138
49,july,-1,24677
49,june,-1,11851
49,may,-1,11875
49,april,-1,8251
50,september,0,1318
50,august,0,1315
50,july,0,704
50,june,0,928
50,may,0,912
50,april,0,1069
51,september,1,0
51,august,2,3100
51,july,2,2000
51,june,2,0
51,may,2,1500
51,april,0,1500
52,september,0,2000
52,august,0,1606
52,july,0,1500
52,june,0,2000
52,may,0,1500
52,april,0,1000
53,september,-2,7875
53,august,-2,7600
53,july,-2,11185
53,june,-2,3544
53,may,-2,464
53,april,-2,0
54,september,1,1300
54,august,2,2010
54,july,0,1762
54,june,0,1762
54,may,0,1790
54,april,0,1622
55,september,2,1600
55,august,0,1718
55,july,0,1049
55,june,0,1500
55,may,0,2000
55,april,0,5000
56,september,-2,3640
56,august,-2,162
56,july,-2,0
56,june,-2,151
56,may,-2,2530
56,april,-2,0
57,september,0,8500
57,august,0,1500
57,july,0,7500
57,june,-1,679
57,may,-1,9000
57,april,-1,2000
58,september,0,8083
58,august,0,7296
58,july,0,5253
58,june,0,4814
58,may,0,4816
58,april,0,3800
59,september,-1,0
59,august,3,0
59,july,2,700
59,june,2,0
59,may,2,1200
59,april,2,0
60,september,0,17000
60,august,0,15029
60,july,0,30000
60,june,0,12000
60,may,0,12000
60,april,0,23000
61,september,0,1516
61,august,0,1300
61,july,0,1000
61,june,0,1000
61,may,0,2000
61,april,0,2000
62,september,0,4025
62,august,0,2095
62,july,0,1000
62,june,0,2000
62,may,0,3000
62,april,-1,0
63,september,2,0
63,august,2,2700
63,july,2,0
63,june,2,2225
63,may,2,1200
63,april,2,0
64,september,0,1000
64,august,0,0
64,july,0,0
64,june,-2,0
64,may,-2,0
64,april,-2,0
65,september,-1,0
65,august,-1,0
65,july,-2,0
65,june,-2,2353
65,may,-1,0
65,april,-1,0
66,september,-2,0
66,august,-2,0
66,july,-2,8222
66,june,-1,300
66,may,2,0
66,april,2,1000
67,september,2,2300
67,august,2,0
67,july,2,150
67,june,0,200
67,may,0,200
67,april,0,160
68,september,2,300
68,august,-1,1159
68,july,-1,2280
68,june,-1,300
68,may,-1,4250
68,april,-1,909
69,september,1,0
69,august,-2,0
69,july,-2,20161
69,june,-1,0
69,may,2,7319
69,april,-1,13899
70,september,2,0
70,august,0,1200
70,july,0,1000
70,june,0,500
70,may,0,1000
70,april,0,0
71,september,-1,0
71,august,-1,390
71,july,-1,390
71,june,-1,390
71,may,-1,390
71,april,-1,390
72,september,2,2500
72,august,2,2500
72,july,2,0
72,june,2,4800
72,may,2,2400
72,april,2,1600
73,september,-1,5818
73,august,-1,15
73,july,-1,9102
73,june,-1,17
73,may,2,3165
73,april,-1,1395
74,september,1,0
74,august,-2,3155
74,july,-1,0
74,june,-1,2359
74,may,-1,0
74,april,-1,0
75,september,-1,5713
75,august,-1,23453
75,july,-1,4314
75,june,-1,80552
75,may,-1,25949
75,april,-1,2016
76,september,0,2850
76,august,0,0
76,july,2,610
76,june,0,630
76,may,0,1500
76,april,0,0
77,september,-1,1759
77,august,0,1779
77,july,0,320
77,june,0,500
77,may,0,1000
77,april,0,1000
78,september,-1,291
78,august,-1,291
78,july,-1,291
78,june,-1,291
78,may,-1,291
78,april,-1,291
79,september,0,1686
79,august,0,1400
79,july,0,560
79,june,0,3000
79,may,0,1765
79,april,0,0
80,september,1,0
80,august,-2,0
80,july,-2,0
80,june,-2,0
80,may,-2,0
80,april,-2,0
81,september,0,6400
81,august,0,7566
81,july,0,3000
81,june,0,960
81,may,0,1000
81,april,0,3000
82,september,0,4796
82,august,0,3400
82,july,0,3100
82,june,0,146900
82,may,0,196
82,april,-1,2963
83,september,0,1576
83,august,0,1213
83,july,0,648
83,june,0,768
83,may,0,1140
83,april,0,0
84,september,0,10700
84,august,0,3
84,july,2,3050
84,june,0,3000
84,may,0,3200
84,april,0,2800
85,september,0,1676
85,august,0,1302
85,july,0,700
85,june,0,699
85,may,0,849
85,april,0,826
86,september,0,4400
86,august,0,3547
86,july,0,80000
86,june,0,4500
86,may,0,4800
86,april,0,4500
87,september,-1,1170
87,august,-1,0
87,july,2,0
87,june,0,390
87,may,-1,390
87,april,-1,390
88,september,0,1147
88,august,0,2000
88,july,0,2000
88,june,0,0
88,may,0,766
88,april,-1,2303
89,september,0,40000
89,august,0,5000
89,july,0,1330
89,june,-1,7095
89,may,-1,1190
89,april,-1,2090
90,september,2,0
90,august,2,1651
90,july,0,1000
90,june,0,2000
90,may,0,0
90,april,2,1500
91,september,2,6300
91,august,2,5500
91,july,2,5500
91,june,2,5500
91,may,2,5000
91,april,2,5000
92,september,-1,0
92,august,-1,3968
92,july,-1,0
92,june,0,0
92,may,0,0
92,april,-2,0
93,september,-2,7555
93,august,-2,0
93,july,-2,0
93,june,-2,0
93,may,-2,0
93,april,-2,0
94,september,-1,1602
94,august,-1,840
94,july,-1,840
94,june,-1,0
94,may,-1,0
94,april,-2,7736
95,september,0,1937
95,august,0,1301
95,july,0,682
95,june,0,690
95,may,0,816
95,april,0,835
96,september,0,3621
96,august,0,3597
96,july,0,1179
96,june,0,1112
96,may,0,1104
96,april,0,1143
97,september,-1,8339
97,august,-1,3394
97,july,-1,12902
97,june,-1,27000
97,may,-1,0
97,april,0,68978
98,september,0,4031
98,august,0,10006
98,july,0,3266
98,june,0,4040
98,may,0,1698
98,april,0,800
99,september,0,1411
99,august,0,1194
99,july,0,379
99,june,0,281
99,may,0,321
99,april,0,197
100,september,0,1699
100,august,0,1460
100,july,0,626
100,june,0,1750
100,may,0,150
100,april,-1,0
101,september,-2,10212
101,august,-2,850
101,july,-2,415
101,june,-2,100
101,may,-2,1430
101,april,-2,0
102,september,-2,223
102,august,-2,33178
102,july,-1,1171
102,june,0,1197
102,may,0,1250
102,april,0,5000
103,september,0,16078
103,august,0,55693
103,july,0,17000
103,june,2,0
103,may,2,18000
103,april,0,24200
104,september,0,1767
104,august,0,1362
104,july,0,1002
104,june,0,840
104,may,0,995
104,april,0,904
105,september,2,0
105,august,2,5000
105,july,2,2511
105,june,2,6
105,may,2,3000
105,april,0,3000
106,september,-1,0
106,august,-1,0
106,july,-2,0
106,june,-2,0
106,may,-2,26529
106,april,-1,2000
107,september,-1,2861
107,august,-1,3279
107,july,-1,3319
107,june,-1,1150
107,may,-1,1150
107,april,-1,1035
108,september,-1,2272
108,august,-1,722
108,july,-1,867
108,june,-1,1150
108,may,-1,5263
108,april,-1,5011
109,september,0,10908
109,august,0,0
109,july,0,133657
109,june,-1,4566
109,may,-1,133841
109,april,-1,4796
110,september,1,0
110,august,-2,0
110,july,-2,0
110,june,-2,0
110,may,-2,0
110,april,-2,0
111,september,0,9260
111,august,0,0
111,july,2,3593
111,june,0,4100
111,may,0,15794
111,april,0,0
112,september,0,2000
112,august,0,1000
112,july,2,1000
112,june,0,1000
112,may,0,1000
112,april,0,1000
113,september,2,6500
113,august,2,0
113,july,2,14254
113,june,2,14850
113,may,2,0
113,april,3,5000
114,september,0,2000
114,august,0,2677
114,july,0,3076
114,june,0,5080
114,may,0,3000
114,april,0,2033
115,september,0,1340
115,august,0,1305
115,july,0,700
115,june,0,718
115,may,0,724
115,april,0,684
116,september,-1,0
116,august,2,1312
116,july,0,3000
116,june,0,0
116,may,3,1000
116,april,2,1000
117,september,-1,326
117,august,-1,326
117,july,-1,5676
117,june,-1,476
117,may,-1,326
117,april,-1,526
118,september,2,2000
118,august,0,1700
118,july,0,1000
118,june,0,1000
118,may,0,1000
118,april,0,1000
119,september,-1,9677
119,august,-1,11867
119,july,-1,7839
119,june,-1,14837
119,may,-1,7959
119,april,-1,5712
120,september,0,2000
120,august,0,3000
120,july,0,3000
120,june,0,1307
120,may,-1,1203
120,april,-1,563
121,september,2,1000
121,august,2,4035
121,july,2,1000
121,june,3,1400
121,may,2,2800
121,april,2,0
122,september,1,0
122,august,-2,0
122,july,-2,0
122,june,-2,0
122,may,-2,0
122,april,-2,0
123,september,1,0
123,august,-2,0
123,july,-2,0
123,june,-2,0
123,may,-2,0
123,april,-2,0
124,september,2,13019
124,august,0,11128
124,july,0,8407
124,june,0,8599
124,may,0,6833
124,april,0,5987
125,september,0,1404
125,august,0,1130
125,july,0,600
125,june,0,861
125,may,0,313
125,april,0,0
126,september,1,0
126,august,-2,0
126,july,-2,0
126,june,-2,0
126,may,-2,0
126,april,-2,0
127,september,0,3568
127,august,0,3585
127,july,0,3602
127,june,0,3848
127,may,0,3669
127,april,0,3784
128,september,0,4655
128,august,0,2690
128,july,0,2067
128,june,0,2142
128,may,0,2217
128,april,0,1000
129,september,0,1000
129,august,0,1066
129,july,0,1300
129,june,0,1500
129,may,0,1200
129,april,0,134
130,september,3,2504
130,august,2,7
130,july,2,1200
130,june,0,1200
130,may,0,1100
130,april,0,1500
131,september,1,5645
131,august,-2,3508
131,july,-2,27
131,june,-2,13771
131,may,-1,5911
131,april,-1,3024
132,september,1,2622
132,august,-1,3301
132,july,-1,0
132,june,0,360
132,may,0,1737
132,april,-1,924
133,september,0,9744
133,august,0,9553
133,july,0,7603
133,june,0,7830
133,may,0,7253
133,april,0,11326
134,september,0,8210
134,august,0,8095
134,july,0,8025
134,june,0,8175
134,may,0,8391
134,april,0,8200
135,september,0,2000
135,august,0,1400
135,july,0,0
135,june,0,500
135,may,0,0
135,april,0,1560
136,september,0,1500
136,august,0,1800
136,july,0,0
136,june,2,1000
136,may,2,0
136,april,2,327
137,september,0,2500
137,august,0,3000
137,july,0,3000
137,june,0,3000
137,may,0,3500
137,april,0,5000
138,september,0,1500
138,august,0,1500
138,july,0,1000
138,june,0,500
138,may,0,2000
138,april,0,546
139,september,-1,300
139,august,-1,5880
139,july,-1,0
139,june,-1,0
139,may,-2,0
139,april,-2,0
140,september,0,2360
140,august,0,1700
140,july,0,1000
140,june,0,900
140,may,0,870
140,april,0,2130
141,september,1,0
141,august,-2,0
141,july,-2,0
141,june,-2,0
141,may,-2,0
141,april,-2,0
142,september,-1,0
142,august,-1,416
142,july,-1,332
142,june,-1,500
142,may,-1,3500
142,april,-1,832
143,september,1,1000
143,august,2,10000
143,july,2,400
143,june,2,700
143,may,0,800
143,april,0,600
144,september,-2,10000
144,august,-2,10000
144,july,-2,10000
144,june,-2,9983
144,may,-2,15863
144,april,-2,10000
145,september,-1,15586
145,august,-1,344
145,july,-1,2340
145,june,-1,4702
145,may,0,339
145,april,-1,330
146,september,0,1000
146,august,0,1500
146,july,0,2000
146,june,0,1583
146,may,0,1100
146,april,3,0
147,september,0,1661
147,august,0,1200
147,july,0,351
147,june,0,358
147,may,0,182
147,april,0,0
148,september,1,8000
148,august,2,5000
148,july,0,55500
148,june,0,5000
148,may,0,5000
148,april,0,8500
149,september,1,1650
149,august,2,0
149,july,3,0
149,june,2,379
149,may,0,2091
149,april,0,1
150,september,1,0
150,august,-2,22500
150,july,-1,0
150,june,-1,969
150,may,-1,1000
150,april,-1,0
151,september,0,3455
151,august,0,3110
151,july,0,5000
151,june,0,0
151,may,2,2100
151,april,0,2602
152,september,0,30000
152,august,0,3000
152,july,0,6000
152,june,0,8000
152,may,0,2000
152,april,0,14000
153,september,1,2906
153,august,-1,1000
153,july,-1,630
153,june,-1,0
153,may,-1,0
153,april,-2,0
154,september,0,8042
154,august,0,6700
154,july,0,5137
154,june,0,1e+05
154,may,0,7000
154,april,0,6321
155,september,0,1700
155,august,0,1500
155,july,0,1000
155,june,0,1500
155,may,0,1500
155,april,0,1500
156,september,0,5000
156,august,0,5000
156,july,0,11885
156,june,0,5000
156,may,0,3000
156,april,0,5504
157,september,0,4000
157,august,0,3250
157,july,0,3250
157,june,0,3500
157,may,0,3560
157,april,0,5000
158,september,0,7300
158,august,0,7108
158,july,0,7680
158,june,0,6200
158,may,0,5000
158,april,0,4500
159,september,2,10478
159,august,3,10478
159,july,4,11078
159,june,4,11078
159,may,5,11678
159,april,6,10478
160,september,3,0
160,august,2,1600
160,july,0,500
160,june,0,500
160,may,0,600
160,april,0,600
161,september,2,3500
161,august,2,0
161,july,2,2200
161,june,2,0
161,may,2,1200
161,april,0,1250
162,september,2,390
162,august,-1,780
162,july,-1,216
162,june,-1,864
162,may,-1,0
162,april,2,390
163,september,-1,396
163,august,-1,396
163,july,-1,792
163,june,-1,0
163,may,0,423
163,april,-1,369
164,september,0,17994
164,august,0,0
164,july,2,5469
164,june,0,5656
164,may,0,6811
164,april,0,3920
165,september,0,3000
165,august,0,1500
165,july,0,1500
165,june,0,1000
165,may,0,1500
165,april,0,1500
166,september,0,5500
166,august,0,3900
166,july,0,3000
166,june,0,2900
166,may,0,3000
166,april,0,2800
167,september,-2,15383
167,august,-2,8204
167,july,-2,15413
167,june,-2,4792
167,may,-2,13453
167,april,-2,4699
168,september,-1,3166
168,august,2,0
168,july,2,1330
168,june,0,1398
168,may,0,12
168,april,0,50000
169,september,0,3500
169,august,0,3500
169,july,0,3652
169,june,0,10000
169,may,0,4000
169,april,2,0
170,september,0,1510
170,august,0,1442
170,july,0,982
170,june,0,1017
170,may,0,1277
170,april,0,567
171,september,0,5000
171,august,0,2000
171,july,0,3000
171,june,0,4000
171,may,0,3000
171,april,0,2000
172,september,-1,3288
172,august,-1,0
172,july,-1,4340
172,june,-1,2672
172,may,-1,800
172,april,-1,746
173,september,-1,15000
173,august,0,1000
173,july,0,149
173,june,0,0
173,may,0,5000
173,april,0,10000
174,september,1,0
174,august,-2,0
174,july,-2,0
174,june,-2,0
174,may,-2,0
174,april,-2,0
175,september,1,0
175,august,-2,77
175,july,-1,0
175,june,-1,0
175,may,-2,0
175,april,-2,0
176,september,1,3000
176,august,2,3000
176,july,2,3000
176,june,2,5500
176,may,2,0
176,april,3,0
177,september,-2,504
177,august,-1,500
177,july,0,1000
177,june,0,500
177,may,0,3500
177,april,0,0
178,september,1,0
178,august,2,1500
178,july,0,1000
178,june,0,2000
178,may,0,0
178,april,2,2000
179,september,0,1212
179,august,0,1201
179,july,0,500
179,june,0,1500
179,may,0,1500
179,april,0,1000
180,september,0,5800
180,august,0,1000
180,july,2,600
180,june,0,400
180,may,0,1000
180,april,0,0
181,september,-1,15000
181,august,-1,0
181,july,2,2000
181,june,0,0
181,may,0,1256
181,april,-1,65935
182,september,0,12500
182,august,-1,6500
182,july,0,3000
182,june,0,2000
182,may,0,3000
182,april,0,2000
183,september,0,70010
183,august,0,30357
183,july,0,30000
183,june,0,20000
183,may,0,52183
183,april,0,20000
184,september,0,2500
184,august,0,1600
184,july,0,3000
184,june,0,1000
184,may,0,737
184,april,0,2000
185,september,0,1200
185,august,0,1593
185,july,0,601
185,june,0,135
185,may,0,1824
185,april,-1,0
186,september,1,0
186,august,2,1600
186,july,0,1500
186,june,0,0
186,may,2,1000
186,april,0,1500
187,september,1,57087
187,august,-1,5295
187,july,-1,68454
187,june,-1,13889
187,may,-1,16250
187,april,-1,38313
188,september,2,8214
188,august,2,7000
188,july,2,6800
188,june,2,7134
188,may,2,0
188,april,2,6836
189,september,1,5396
189,august,-1,5000
189,july,0,3500
189,june,0,501
189,may,0,1000
189,april,0,2000
190,september,1,0
190,august,5,1000
190,july,4,0
190,june,4,0
190,may,3,760
190,april,2,0
191,september,0,10020
191,august,0,6031
191,july,0,10057
191,june,0,5028
191,may,0,5060
191,april,0,4223
192,september,2,1342
192,august,0,1664
192,july,0,2000
192,june,0,0
192,may,2,900
192,april,0,846
193,september,-1,199
193,august,-1,0
193,july,-1,0
193,june,-2,17227
193,may,-1,341
193,april,0,5114
194,september,-1,37867
194,august,-1,0
194,july,2,200
194,june,0,0
194,may,0,0
194,april,-2,0
195,september,0,2000
195,august,0,1000
195,july,0,2000
195,june,0,500
195,may,-1,1000
195,april,-1,20011
196,september,1,1900
196,august,2,1400
196,july,2,1700
196,june,2,1532
196,may,2,1600
196,april,2,0
197,september,-2,0
197,august,-2,0
197,july,-2,116
197,june,-2,0
197,may,-2,1500
197,april,-2,0
198,september,0,1500
198,august,0,1032
198,july,0,541
198,june,0,20000
198,may,-1,693
198,april,0,1000
199,september,-2,138
199,august,-2,2299
199,july,-2,1251
199,june,-1,1206
199,may,-1,1151
199,april,-1,15816
200,september,1,1000
200,august,2,85
200,july,2,1714
200,june,0,104
200,may,0,0
200,april,0,0
201,september,-2,0
201,august,-2,0
201,july,-2,0
201,june,-2,0
201,may,-2,0
201,april,-2,0
202,september,0,25000
202,august,0,0
202,july,2,3000
202,june,0,7800
202,may,0,0
202,april,2,2500
203,september,-1,10000
203,august,0,13001
203,july,-1,5841
203,june,-1,13506
203,may,-1,487
203,april,-1,7004
204,september,0,5000
204,august,0,5000
204,july,0,4152
204,june,0,5000
204,may,0,5000
204,april,0,5000
205,september,0,9100
205,august,0,7300
205,july,0,5800
205,june,0,5600
205,may,0,5600
205,april,0,4100
206,september,-1,22359
206,august,-1,1305
206,july,0,1258
206,june,0,1459
206,may,0,3457
206,april,0,1700
207,september,-1,1473
207,august,-1,390
207,july,-1,390
207,june,-1,390
207,may,-1,0
207,april,-1,2380
208,september,-1,1586
208,august,-1,343
208,july,-1,3763
208,june,-1,877
208,may,-1,0
208,april,-1,419
209,september,0,3200
209,august,0,3000
209,july,0,2038
209,june,0,2000
209,may,0,1800
209,april,0,1800
210,september,-1,4345
210,august,-1,2854
210,july,-1,1702
210,june,-1,0
210,may,-2,1709
210,april,-2,258
211,september,0,5000
211,august,0,5050
211,july,0,8303
211,june,-1,0
211,may,-1,85632
211,april,-1,0
212,september,1,0
212,august,-2,250
212,july,-1,0
212,june,0,789
212,may,-1,1222
212,april,-1,9616
213,september,0,1700
213,august,0,1504
213,july,0,1200
213,june,0,1500
213,may,0,1500
213,april,0,1000
214,september,0,3036
214,august,0,2309
214,july,0,0
214,june,2,1000
214,may,0,2000
214,april,0,148
215,september,2,13000
215,august,2,11001
215,july,2,0
215,june,2,10484
215,may,0,10838
215,april,0,10367
216,september,-1,390
216,august,-1,390
216,july,-1,240
216,june,-1,1470
216,may,-1,0
216,april,2,0
217,september,1,0
217,august,-2,0
217,july,-2,0
217,june,-2,0
217,may,-2,0
217,april,-2,0
218,september,2,3100
218,august,0,3500
218,july,0,3400
218,june,0,3000
218,may,0,3500
218,april,0,3000
219,september,0,4000
219,august,0,5000
219,july,0,3000
219,june,0,3000
219,may,0,3000
219,april,0,8954
220,september,-1,4542
220,august,-1,126
220,july,-1,0
220,june,-1,0
220,may,-2,0
220,april,-2,0
221,september,2,12000
221,august,2,0
221,july,2,5900
221,june,0,5000
221,may,0,4500
221,april,0,4700
222,september,0,12388
222,august,0,12378
222,july,0,12116
222,june,0,12450
222,may,0,12213
222,april,0,11678
223,september,0,12019
223,august,0,9006
223,july,0,17000
223,june,0,12000
223,may,0,9557
223,april,0,15000
224,september,0,10042
224,august,0,18832
224,july,0,2117
224,june,0,2076
224,may,0,5045
224,april,0,3754
225,september,1,0
225,august,3,24
225,july,2,1500
225,june,0,1000
225,may,0,1201
225,april,0,30592
226,september,0,6530
226,august,0,4860
226,july,0,22500
226,june,0,4820
226,may,0,4877
226,april,0,4962
227,september,-1,2686
227,august,-1,1864
227,july,-1,569
227,june,-1,0
227,may,-1,0
227,april,-2,0
228,september,0,1609
228,august,0,3000
228,july,0,663
228,june,0,676
228,may,0,834
228,april,0,782
229,september,2,2401
229,august,0,2254
229,july,0,2004
229,june,0,704
229,may,0,707
229,april,0,1004
230,september,1,0
230,august,2,1333
230,july,0,500
230,june,0,100
230,may,0,0
230,april,0,3200
231,september,0,2090
231,august,0,2002
231,july,0,1002
231,june,0,238
231,may,0,1011
231,april,0,389
232,september,1,0
232,august,2,1200
232,july,0,1000
232,june,0,0
232,may,2,1000
232,april,0,10000
233,september,0,0
233,august,0,0
233,july,-2,2624
233,june,-1,45567
233,may,-1,1747
233,april,0,2000
234,september,2,5000
234,august,0,5000
234,july,0,10000
234,june,0,0
234,may,2,12118
234,april,2,2769
235,september,0,1506
235,august,0,1298
235,july,0,1000
235,june,0,721
235,may,0,811
235,april,0,599
236,september,-1,3983
236,august,-1,6853
236,july,-1,1719
236,june,-1,1378
236,may,-1,19942
236,april,-1,2418
237,september,0,4500
237,august,0,1745
237,july,0,1566
237,june,0,1208
237,may,0,1077
237,april,0,2529
238,september,-2,0
238,august,-2,7422
238,july,-2,893
238,june,-2,6082
238,may,-1,2293
238,april,-1,3299
239,september,0,10116
239,august,0,9150
239,july,0,8008
239,june,0,8000
239,may,0,8009
239,april,0,7714
240,september,0,3000
240,august,0,2000
240,july,0,2198
240,june,0,1000
240,may,0,3000
240,april,0,2399
241,september,1,0
241,august,2,0
241,july,2,0
241,june,-2,0
241,may,-2,2285
241,april,-1,0
242,september,0,1800
242,august,0,2000
242,july,0,3000
242,june,0,2000
242,may,0,2000
242,april,0,2000
243,september,0,1800
243,august,0,1750
243,july,0,900
243,june,0,1200
243,may,0,1200
243,april,0,1100
244,september,-1,2821
244,august,-1,0
244,july,2,0
244,june,2,2821
244,may,-1,0
244,april,-1,176
245,september,-1,355
245,august,-1,120
245,july,2,0
245,june,2,0
245,may,2,60
245,april,2,60
246,september,0,1601
246,august,0,2203
246,july,0,2114
246,june,0,0
246,may,0,0
246,april,-2,0
247,september,0,1631
247,august,-1,1536
247,july,-1,1010
247,june,-1,5572
247,may,-1,794
247,april,-1,1184
248,september,0,1788
248,august,0,1799
248,july,0,1100
248,june,0,1150
248,may,0,2423
248,april,0,0
249,september,0,2504
249,august,0,4007
249,july,0,5056
249,june,0,74
249,may,2,1023
249,april,0,2566
250,september,0,1561
250,august,0,1268
250,july,0,587
250,june,0,611
250,may,0,1000
250,april,0,2000
251,september,1,1710
251,august,2,136
251,july,2,1206
251,june,0,2002
251,may,0,2005
251,april,0,3003
252,september,0,5006
252,august,0,1244
252,july,0,851
252,june,0,955
252,may,0,0
252,april,0,0
253,september,0,5366
253,august,0,5087
253,july,0,3605
253,june,0,3894
253,may,0,3785
253,april,0,3304
254,september,0,7042
254,august,0,2000
254,july,0,1000
254,june,0,99669
254,may,-1,12600
254,april,0,10000
255,september,-1,3127
255,august,0,1469
255,july,-1,4968
255,june,-1,1905
255,may,-1,2494
255,april,-1,862
256,september,0,1565
256,august,0,1393
256,july,0,980
256,june,0,994
256,may,0,1024
256,april,0,886
257,september,0,1233
257,august,-1,1075
257,july,-1,1355
257,june,-1,1130
257,may,-1,21361
257,april,-1,1347
258,september,-1,2453
258,august,-1,9880
258,july,-1,52572
258,june,-1,1546
258,may,0,2210
258,april,-1,0
259,september,0,0
259,august,0,0
259,july,-2,0
259,june,-2,0
259,may,-2,0
259,april,-2,0
260,september,2,10000
260,august,0,9020
260,july,0,6000
